"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"EES4760_HW5_ex_5_4.nlogox"
"Hilltop stopping q experiment"
"09/16/2026 22:43:29:507 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","random-start","stop-at-hilltop","noise","real-elevation","[step]","clumping","corridor-width"
"3","0.2","true","true","false","true","37","7.116","1074.2680088104967"
"4","0.3","true","true","false","true","29","7.456","859.5513606338768"
"9","0.8","true","true","false","true","34","8.988","359.94871410554424"
"5","0.4","true","true","false","true","32","8.276","704.0419725878755"
"2","0.1","true","true","false","true","30","6.532","1249.3371984199946"
"8","0.7","true","true","false","true","44","8.692","413.627268370464"
"7","0.6","true","true","false","true","42","9.26","459.3266523096516"
"1","0","true","true","false","true","28","6.916","1353.334831531614"
"3","0.2","true","true","false","true","38","7.24","1075.1138737913154"
"9","0.8","true","true","false","true","35","8.984","359.81319936516894"
"6","0.5","true","true","false","true","31","8.42","566.5914762543332"
"8","0.7","true","true","false","true","45","8.692","413.6570348330418"
"7","0.6","true","true","false","true","43","9.284","458.79605790271694"
"5","0.4","true","true","false","true","33","8.24","702.4761224829944"
"4","0.3","true","true","false","true","30","7.508","859.1060364042592"
"3","0.2","true","true","false","true","39","7.356","1074.438650193441"
"2","0.1","true","true","false","true","31","6.608","1262.7692019873011"
"7","0.6","true","true","false","true","44","9.28","458.09822251165986"
"9","0.8","true","true","false","true","36","8.984","359.67477872722884"
"1","0","true","true","false","true","29","6.776","1355.0663296948167"
"8","0.7","true","true","false","true","46","8.692","413.54722386923294"
"6","0.5","true","true","false","true","32","8.516","564.5650042831463"
"5","0.4","true","true","false","true","34","8.296","703.7403793052144"
"3","0.2","true","true","false","true","40","7.32","1065.7856753530837"
"4","0.3","true","true","false","true","31","7.432","861.7270310325198"
"9","0.8","true","true","false","true","37","8.984","359.7716123169721"
"2","0.1","true","true","false","true","32","6.644","1268.3343805986694"
"7","0.6","true","true","false","true","45","9.296","457.63942012135226"
"6","0.5","true","true","false","true","33","8.568","563.5053796865795"
"1","0","true","true","false","true","30","6.836","1367.8417149258312"
"8","0.7","true","true","false","true","47","8.692","413.5472238692331"
"4","0.3","true","true","false","true","32","7.512","856.5589691555796"
"5","0.4","true","true","false","true","35","8.244","700.4491872210012"
"9","0.8","true","true","false","true","38","8.984","359.67477872722907"
"3","0.2","true","true","false","true","41","7.304","1068.531190274893"
"2","0.1","true","true","false","true","33","6.68","1276.4378648953912"
"7","0.6","true","true","false","true","46","9.336","456.7785885969582"
"6","0.5","true","true","false","true","34","8.64","561.2121120757936"
"1","0","true","true","false","true","31","6.896","1374.084663521704"
"4","0.3","true","true","false","true","33","7.524","851.7679304514555"
"8","0.7","true","true","false","true","48","8.692","413.5472238692334"
"9","0.8","true","true","false","true","39","8.984","359.5707828409908"
"5","0.4","true","true","false","true","36","8.28","696.7509316021175"
"7","0.6","true","true","false","true","47","9.36","456.3539412574107"
"2","0.1","true","true","false","true","34","6.704","1282.0074564944305"
"6","0.5","true","true","false","true","35","8.692","558.1212448936801"
"3","0.2","true","true","false","true","42","7.248","1067.1387954790614"
"4","0.3","true","true","false","true","34","7.62","848.7608822517722"
"1","0","true","true","false","true","32","6.808","1389.7890359781745"
"9","0.8","true","true","false","true","40","8.984","359.4704041538193"
"5","0.4","true","true","false","true","37","8.272","698.1473382118525"
"8","0.7","true","true","false","true","49","8.692","413.5472238692333"
"6","0.5","true","true","false","true","36","8.62","556.2529430211395"
"2","0.1","true","true","false","true","35","6.636","1289.738157404864"
"7","0.6","true","true","false","true","48","9.356","456.0994527940805"
"4","0.3","true","true","false","true","35","7.62","848.0849046599056"
"9","0.8","true","true","false","true","41","8.984","359.3700570062337"
"5","0.4","true","true","false","true","38","8.276","698.5097267763922"
"1","0","true","true","false","true","33","6.796","1401.7539388012747"
"3","0.2","true","true","false","true","43","7.216","1063.4794819647732"
"6","0.5","true","true","false","true","37","8.608","553.7262068104181"
"8","0.7","true","true","false","true","50","8.692","413.547223869233"
"2","0.1","true","true","false","true","36","6.716","1298.6099063641204"
"7","0.6","true","true","false","true","49","9.364","456.4520266862657"
"4","0.3","true","true","false","true","36","7.64","849.098314567305"
"9","0.8","true","true","false","true","42","8.984","359.26140713124556"
"5","0.4","true","true","false","true","39","8.308","696.3119566793064"
"6","0.5","true","true","false","true","38","8.664","553.8436433431851"
"1","0","true","true","false","true","34","6.832","1398.435115234399"
"8","0.7","true","true","false","true","51","8.692","413.54722386923356"
"3","0.2","true","true","false","true","44","7.296","1061.1402328918784"
"2","0.1","true","true","false","true","37","6.616","1300.773868307069"
"5","0.4","true","true","false","true","40","8.34","695.109999099808"
"7","0.6","true","true","false","true","50","9.36","456.05440869193177"
"9","0.8","true","true","false","true","43","8.984","359.26140713124573"
"4","0.3","true","true","false","true","37","7.692","850.8496051105484"
"6","0.5","true","true","false","true","39","8.688","552.5696076090238"
"1","0","true","true","false","true","35","6.808","1405.9739184465777"
"8","0.7","true","true","false","true","52","8.692","413.547223869233"
"2","0.1","true","true","false","true","38","6.652","1309.3834303793371"
"9","0.8","true","true","false","true","44","8.984","359.2614071312454"
"5","0.4","true","true","false","true","41","8.332","698.3663146973558"
"4","0.3","true","true","false","true","38","7.78","851.0506650727675"
